word,definition,pronunciation
Bossa-nova,Brazilian dance similar to samba,"bosa,nofa"
Willowish,Of the colour of willow leaves,wilowiksh
Genethlialogy,The art of casting horoscopes,jenethlialoj
Eschaton,End of the world; end time,eskhaton
Nembutsu,Buddhist invocation chanted to achieve enlightenment,nembutsu
Yam,Posting-house along a road,yam
Mogilalia,Speaking only with difficulty,mojilalia
Utinam,Earnest wish or desire,utinam
Roussette,Fruit-bat,rousete
Flysch,Sandstone deposit,flskh
Hysteron proteron,"In rhetoric, putting first what normally comes last","hsteron,proteron"
Ethnomusicology,Study of comparative musical systems,ethnomusikoloj
Quokka,Short-tailed wallaby,kuoka
Unguinous,Oily; fatty,unkuinous
Guttate,Spotted; having drops or droplike markings,kutate
Thirdborough,Petty constable of a township,thirtborouf
Whereon,On what,wereon
Translunary,Beyond the moon; spiritual,translunar
Junco,North American finch,junko
Spiculate,To sharpen to a point,spikulate
Philology,Study of ancient texts; historical linguistics,filoloj
Finitism,Belief that the universe or God is finite in scope,finitism
Fibriform,Shaped like a fibre,fibriform
Egyptology,Study of ancient Egypt,ejptoloj
Overrack,To overstrain,oferak
Pneumatophilosophy,Philosophy of spirits or the spirit world,neumatofilosof
Jecoral,"Of, like or pertaining to the liver",jekoral
Koniscope,Instrument for measuring dust in air,koniskope
Invination,Presence of Christ's blood in sanctified wine,infinaxion
Monandry,Marriage to only one man at a time,monantr
Coenaesthesis,Sensation,koenaesthesis
Verselet,A little poem,ferselet
Bdelloid,"Of, like or pertaining to leeches",bteloit
Pinnate,Shaped like a feather,pinate
Redivivus,Resuscitated; come to life again,retififus
Crapehanger,Pessimist,krapehanjer
Boltrope,Strong rope stitched to edges of a sail,boltrope
Mechanography,Mechanical reproduction of art,mekshanokraf
Aciniform,Shaped like a berry,asiniform
Kier,Bleaching vat,kier
Photolysis,Disintegration resulting from exposure to radiation,fotolsis
Xilinous,"Of, like or pertaining to cotton",silinous
Kyrielle,String of short lines in stanzas all ending with the same word,kriele
Equatorium,Computational instrument for planetary astronomy,ekuatorium
Loreal,Located in the area between the eyes and the nose or snout,loreal
Ulotrichous,Having woolly hair,ulotrikshous
Zaftig,Having a full; rounded figure,saftik
Scalpture,Art of engraving on metal or stone,skalpture
Zizel,Chipmunk,sizel
Xerasia,Abnormal dryness of the hair,seraksia
Hematology,Study of blood,hematoloj
Elance,To throw as a lance,elanse
Whiskerando,A whiskered person,wiskeranto
Ligneous,Woody; wooden,likneous
Zoosemiotics,Study of animal communication,sosemiotiks
Overhaile,To overtake; to overpower,oferhaile
Zoocentric,Centred on the animal world,sosentrik
Ultradian,Of physiological cycles longer than an hour and shorter than a day,ultratian
Xylotherapy,Use of certain sorts of wood in treating disease,slotherap
Lambitive,Taken by licking up with the tongue,lambitife
Tenendum,Clause in a deed defining land tenure,tenentum
Endarchy,Centralised government,entarksh
Factitious,Produced by humans or artificial forces,faktixious
Topiary,Clipping of trees into imitative or fantastic shapes,topiar
Detritus,Waste or debris,tetritus
Xerophthalmia,Dryness and soreness of the eyes,serofthalmia
Keister,Burglar's tool kit,keister
Homeoteleuton,The use or occurrence of similar word endings,homeoteleuton
Yardland,Unit of land area equal to 30 acres,yartlant
Jacinthe,Orange colour,jasinthe
Bursal,"Of, like or pertaining to a state's revenues",bursal
Perlustrate,To traverse and inspect carefully,perlustrate
Waterwork,Piece of fabric painted to resemble a tapestry,waterwork
Spirate,Voiceless,spirate
Geoscopy,Examination or analysis of soil,jeoskop
Xenobiotic,Indicating a substance or item foreign to the body,senobiotik
Wirewove,Very fine quality of writing paper,wirewofe
Interpellation,Question raised during the course of debate,interpelaxion
Cambist,Person skilled in the science of financial exchange,kambist
Chlamys,Horseman's loose cloak,shlams
Zygopleural,Bilaterally symmetrical,skopleural
Nulliverse,Universe devoid of any plan or organizing principle,nuliferse
Ornithopter,Bird-like archaic flying machine,ornithopter
Lupiform,Shaped like a wolf,lupiform
Polymath,Person possessing knowledge of many subjects,polmath
Dysteleology,Study of purposeless organs; doctrine of purposelessness,tsteleoloj
Villar,"Of, like or pertaining to a manor or village",filar
Keb,Ewe that gives birth to stillborn lamb,keb
Ganister,Flint-like rock used to surface roads,kanister
Yusho,Skin-staining disease caused by contaminated rice oil,yuksho
Yok,Pejorative Jewish term for a non-Jew,yok
Isogam,Line connecting points of equal acceleration due to gravity,isokam
Focimeter,Instrument for measuring focal length of a lens,fosimeter
Bionergy,Vital essence or force,bionerj
Theomania,Belief that one is a god,theomania
Yperite,Mustard gas,perite
Jaspideous,Of the nature of jasper,jaspiteous
Quadrumanous,Of the primates other than man,kuatrumanous
Surrey,Light four-wheeled carriage with two seats,sure
Urolith,Small stone in the urinary tract,urolith
Insectivorous,Eating insects,insektiforous
Wrongous,Unjust; wrongful,ronkou
Boniform,Having the form of good,boniform
Recalesce,To display again a state of glowing heat,rekalesse
Eruciform,Like or resembling a caterpillar,erusiform
Abactor,Cattle thief,abaktor
Quadrimium,Four-year-old wine; best or oldest wine,kuatrimium
Mogadore,Ribbed silk used in making neckties,mokatore
Reticella,Old Venetian lace-like fabric,retisela
Disciform,Round or oval in shape,tissiform
Racemiferous,Bearing clusters or bunches,rasemiferous
Querical,Of the nature of queries,kuerikal
Unligable,Unable to be bound together,unlikable
Podiatry,Study and treatment of disorders of the foot; chiropody,poxiatr
Apagoge,Proof by showing the falsehood of the opposite,apakoje
Islesman,Inhabitant of a group of islands,islesman
Tournure,Contour; characteristic turn of line; grace or poise,tournure
Kinetics,Study of forces producing or changing motion,kinetiks
Syntomy,Brevity; conciseness,sntom
Buttery,Storeroom for provisions and liquors,buter
Mortiferous,Death-bringing; fatal,mortiferous
Inhumation,Burial; act of depositing in the ground,inhumaxion
Siccative,Drying; a drying agent,sikkatife
Retrahent,Drawing back,retrahent
Sobeit,Provided that; if only,sobeit
Hibber-gibber,Gibberish,"hiber,jiber"
Forel,Parchment for covering books,forel
Obvolute,Overlapping; twisted,obfolute
Klangfarbe,Tone-colour; timbre,klankfarbe
Urbanology,Study of cities,urbanoloj
Xylary,"Of, like or pertaining to xylem",slar
Succiferous,Bearing or producing sap,suksiferous
Vansire,Carnivorous South African ferret,fansire
Gage,Token of defiance or challenge; thing deposited as pledge of performance,kaje
Glumiferous,Bearing glumes,klumiferous
Agnomen,Additional name; surname; nickname,aknomen
Perlocution,Effect produced when a particular word is uttered,perlokuxion
Tubicinate,To blow a trumpet,tubisinate
Windle,Appliance for winding yarn,wintle
Kurta,Loose shirt or tunic,kurta
Goa,Tibetan gazelle with backward-curving horns,koa
Jack-cross-tree,Single iron cross-tree at head of a topgallant mast,"jak,kros,tre"
Hypnoetic,"Of, like or pertaining to unconscious logical thought",hpnoetik
Desultory,Jumping from one thing to another; rambling; unplanned,tesultor
Quagma,Hypothetical matter made up of quarks and gluons,kuakma
Planetesimal,"Of, like or pertaining to asteroids or similar tiny celestial bodies",planetesimal
Videtur,It seems,fitetur
Metaplasm,"Alteration in spelling of a word by adding, removing, or transposing letters",metaplasm
Habilitate,To equip or finance; to qualify,habilitate
Limnobiology,Study of freshwater ecosystems,limnobioloj
Nosophobia,Fear of disease,nosofobia
Jalouse,To suspect; to be jealous of,jalouse
Nuptiality,Marriage-rate,nupxialit
Advertorial,Advertisement presented as if it were editorial material,atfertorial
Dirigent,Guiding,tirijent
Yarrow,Flowering herb growing in moist areas; milfoil,yaro
Kea,Green parrot of New Zealand,kea
Jobbery,The conduct of public business for private gain,jober
Quisquous,Perplexing; difficult to deal with,kuiskuous
Quickhatch,Wolverine,kuikhatksh
Somatism,Materialism,somatism
Crampon,Boot-spike for rock and ice climbing,krampon
Bourasque,Tempest,bouraskue
Quotha,Expression of surprise or contempt,kuotha
Wanigan,Pay office in a lumber camp,wanikan
Elative,Indicating movement out of or away from,elatife
Knarred,Gnarled; knotty,nare
Dactyloid,Like or resembling a finger,taktloit
Ure,Use; custom,ure
Entify,To treat as or cause to become a separate entity,entif
Oestrogenic,Producing female sex hormones,oestrojenik
Decantate,To chant or say repeatedly,tekantate
Keratometer,Instrument for measuring curvature of the cornea,keratometer
Zabernism,Misuse of military authority; bullying,sabernism
Vaccinia,Cow-pox,faksinia
Foraminated,Perforated or pierced with small holes,foraminatet
Hydric,"Of, like or pertaining to an abundance of moisture",htrik
Cacodoxy,Bad doctrine or wrong opinion,kakotoks
Petaliferous,Bearing petals,petaliferous
Neogenesis,Producing regeneration of tissue,neojenesis
Coxcomb,Foolishly vain or conceited man,kokskom
Woonerf,Road in a residential district which uses various measures to calm traffic,wonerf
Liberticide,Destruction of liberty,libertisite
Ecclesiography,Treatise or writing on the church,ekkleksiokraf
Cocket,Official shipping seal; customs clearance form,koket
Gametogenesis,Formation of gametes,kametojenesis
Zoomimetic,Imitating an animal or part of an animal,somimetik
Inchoate,Undeveloped; just begun,inkshoate
Jeremiad,Prolonged complaint; angry or cautionary harangue; lamentation,jeremiat
Nill,To refuse; to be unwilling,nil
Abaculus,Small tile for mosaic,abakulus
Ktenology,Science of putting people to death,ktenoloj
Psaltery,Ancient stringed musical instrument,psalter
Irenology,The study of peace,irenoloj
Verecund,Modest; shy,ferekunt
Rosin,Resin applied to bows for stringed instruments,rosin
Beestings,The first milk drawn from a cow after calving,bestinks
Zambra,Spanish dance,sambra
Dextrogyratory,Turning to the right,tekstrojrator
Yellowplush,A footman,yelopluksh
Mbalax,West African popular music,mbalaks
Synodical,"Of, like or pertaining to conjunction",snotikal
Whippy,Pliant; supple,wip
Nectareal,Of or like nectar,nektareal
Polyptoton,Repetition of word in same sentence with multiple inflectional endings,polptoton
Heliography,Description of the sun,heliokraf
Holography,Process of producing holographic images,holokraf
Wincey,Plain or twilled cotton,winse
Sennit,Plaited straw or rope,senit
Gaucherie,Awkward or socially unacceptable remark,kauksherie
Jaspe,Cotton or rayon cloth with shaded effect,jaspe
Orobathymetric,"Of, like or pertaining to map showing submerged heights and sea depths",orobathmetrik
Solemnsides,Excessively solemn or serious,solemnsites
Aeviternal,Everlasting; endless,efiterna
Oviferous,Egg-carrying,ofiferous
Batiste,Fine soft sheer fabric of plain weave,batiste
Quinible,High-pitched voice; a musical part pitched very high,kuinible
Rushlight,A type of candle dipped in grease,rukshlit
Pancratic,Excelling all round in athletics or accomplishments,pankratik
Jettatura,The evil eye,jetatura
Nebulize,To reduce to spray,nebulise
Cramoisy,Crimson,kramois
Quarrion,Australian parrot like the cockatiel,kuarion
Uranophobia,Fear of heaven,uranofobia
Molochize,To sacrifice,molokshise
Quarkonium,Meson formed of a quark and an anti-quark,kuarkonium
Anocathartic,Emetic; causing vomiting or expectoration,anokathartik
Tricephalous,Having three heads,trisefalous
Temulence,Intoxication,temulense
Quadrivial,Leading in four directions; concerning a four-way junction,kuatrifial
Batholith,Large mass of intruded igneous rock,batholith
Lunarist,One who believes that the moon affects the weather,lunarist
Morphology,Study of forms and the development of structures,morfoloj
Hamarchy,Government by a cooperative body of parts,hamarksh
Pipe,Unit of liquid capacity equal to two hogsheads,pipe
Outcept,Excluding; unless,outsept
Xylophagous,Wood-eating,slofakous
Epact,Excess of the calendar month over the lunar month,epakt
Kazachoc,Slavic fast dance in which dancer squats and kicks out legs alternately,kasakshok
Quinquagesimal,Belonging to a set of fifty,kuinkuajesimal
Abasia,Inability to walk due to lack of muscular coordination,abaksia
Onyxis,Ingrown nail,onksis
Wharfinger,Keeper or owner of a wharf,warfinjer
Gaff-topsail,Triangular topsail with its foot extended upon the gaff,"kaf,topsail"
Sheer,Fore-and-aft curvature of a ship from bow to stern,sher
Morphometry,Measurement of form or shape,morfometr
Decumbiture,The time spent by an invalid in bed,tekumbiture
Epopoeist,One who writes epic poetry,epopoeist
Eyas,Unfledged falcon or other bird of prey,eyas
Retropulsion,Pushing backwards,retropulksion
Cabré,Flying upside down with tail down,kabre
Cinnabar,Red crystalline mercuric sulfide pigment; deep red or scarlet colour,sinabar
Uplong,Extending upward from,uplonk
Noctambulation,Sleep-walking,noktambulaxion
Xiphias,Swordfish,sifias
Inclinometer,Instrument for measuring inclination to the horizontal of an axis,inklinometer
Jota,Fast Spanish folk dance in triple time,jota
Exordium,Beginning or introduction to a composition,eksortium
Gypsiferous,Bearing gypsum,jpsiferous
Larine,"Of, like or pertaining to gulls",larine
Torcular,Tourniquet,torkular
Guff,Nonsense; empty talk,kuf
Callisteia,Awards given for beauty,kalisteia
Overflush,Superfluity,oferfluksh
Pathopoeia,Excitation of passion by rhetoric or poetry,pathopoeia
Retrochoir,Space in choir behind high altar,retrokshoir
Vacuefy,To produce a vacuum,fakuef
Quitter,Pus; suppurating discharge,kuiter
Yataghan,Long curved knife or sabre,yatafan
Aveniform,Shaped like oats,afeniform
Gimcrack,Trick; trivial mechanism,jimkrak
Backstay,Stay extending from ship's mastheads to the side of the ship,baksta
Canter,Person who makes hypocritical or affected statements,kanter
Quercetum,Plantation of oak trees,kuersetum
Rancelman,Local constable or law officer in Orkney and Shetland,ranselman
Suspiration,Sighing,suspiraxion
Ungual,"Of a claw, hoof, or talon; clawed",unkual
Systaltic,Alternately contracting and dilating; pulsating,sstaltik
Xerodermia,Abnormal dryness of the skin,serotermia
Xenops,A small tropical rainforest bird,senops
Synesis,Syntax having regard to meaning rather than form,snesis
Exponible,Able to be explained,eksponible
Inumbrate,To cast a shadow upon; to shade,inumbrate
Tuberiferous,Bearing tubers,tuberiferous
Frostwork,Delicate figures and patterns in which frost forms on surfaces,frostwork
Galatea,Striped cotton,kalatea
Heliac,Solar; coincident with that of the sun,heliak
Ritornel,Short instrumental prelude or interlude in opera,ritornel
Canezou,Woman's garment like a blouse,kanesou
Lares,Local Roman gods,lares
Tempore,In the time of,tempore
Pickthank,Sycophant; flatterer,pikthank
Yowie,A little ewe,yowie
Jarta,Term of endearment,jarta
Brisure,Part of a parapet breaking from the general direction,brisure
Jalousie,Outside shutter with slats,jalousie
Zorino,Euphemism for skunk fur,sorino
Calash,Light low-wheeled carriage with folding top,kalaksh
Toxicophagous,Eating poison,toksikofakous
Woning,State of dwelling; dwelling-place,wonink
Juvenal,A youth; young bird's plumage,jufenal
Selenology,Study of the moon,selenoloj
Lozenge,Diamond-shaped mark indicating possibility in formal logic,losenje
Amphibology,Ambiguity in language; dual grammatical meaning,amfiboloj
Zoonomy,Animal physiology,sonom
Homochiral,Identically shaped,homokshiral
Cupola,Spherical vault or concave ceiling,kupola
Ogive,Graph representing cumulative frequency,ojife
Insectology,Study of insects,insektoloj
Advert,Refer to in speech or writing,atfert
Jambeau,Armour worn on the legs,jambeau
Elephant,Large unit of paper measurement equal to 28 by 23 inches,elefant
Ophiology,Study of snakes,ofioloj
Killcow,A bully; a swaggerer,kilko
Kinetoscope,Instrument for producing curves by combination of circular movements,kinetoskope
Spokeshave,Plane or knife used to round spokes,spokekshafe
Embase,To lower; to debase,embase
Rebatement,Abatement; reduction; discount,rebatement
Agnize,To acknowledge or confess,aknise
Theomicrist,One who belittles God,theomikrist
Tegular,"Of, like or overlapping like tiles or slates",tekular
Xylopyrography,Engraving designs on wood with hot poker,sloprokraf
Zayat,Burmese public meeting-hall or house of worship,sayat
Monophagous,Feeding on only one type of food,monofakous
Stertorous,With a snoring sound,stertorous
Dik-dik,Small east African antelope,"tik,tik"
Devisee,One to whom property is bequeathed in a will,tefise
Winze,Small ventilating shaft between two levels of a mine,winse
Zither,Musical instrument with strings laid over horizontal board,sither
Xanthocomic,Yellow-haired,santhokomik
Umlaut,Two dots placed over a vowel to indicate change in vowel sound (Führer),umlaut
Donnism,Self-importance,tonism
Kemb,To comb,kem
Presidial,Presidential,presixial
Dianoetic,"Capable of, like or pertaining to thought",tianoetik
Baton,Heraldic sign of bastardy,baton
Ultimo,Of last month,ultimo
Yogini,Female yogi,yojini
Labrose,Thick-lipped,labrose
Hydrophanous,Becoming transparent when placed in water,htrofanous
Monomania,Abnormal obsession with a single thought or idea,monomania
Yenta,Gossip or busybody,yenta
Hachure,Shading or lines showing a slope on a map,hakshure
Pelecoid,Shaped like a hatchet; a hatchet-shaped geometrical figure,pelekoit
Suint,Dried sheep perspiration,suint
Inaurate,Gilded; golden,inaurate
Orillion,Semicircular projection on a bastion to protect flanks,orilion
Knur,Knob or knot in wood,nu
Zuppa,Fish soup,supa
Logomachy,Contention about words or in words,lokomaksh
Zoophilia,Loving or caring for animals; bestiality,sofilia
Guerdon,Reward; recompense,kuerton
Orleans,Interwoven cotton and worsted,orleans
Xanthoderm,Yellow-skinned person,santhoterm
Implex,Not simple; involved; complicated,impleks
Parentalia,Feasts or rites in memory of deceased parents,parentalia
Cosmarchy,"Rulership over the entire world, esp. by the devil",kosmarksh
Upspeak,To begin to speak,upspeak
Restiform,Shaped like a cord,restiform
Zosteriform,Shaped like a girdle,sosteriform
Gamin,Street urchin; precocious imp,kamin
Vanitarianism,Pursuit of vain things,fanitarianism
Zinkiferous,Bearing zinc,sinkiferous
Venigenous,Containing veins of metal or quartz,fenijenous
Furfur,Dandruff or scurf,furfur
Gavelkind,Land inheritance by all sons in equal portion,kafelkint
Windrow,Hay raked together into a line,wintro
Reckling,Smallest or weakest of a litter,reklink
Tautonym,Taxonomic name in which genus and species are the same,tautonm
Zill,Finger cymbals used in belly dancing,sil
Isophene,Line connecting points of the same phenotype or seasonal variation,isofene
Oviparous,Producing offspring through laying eggs,ofiparous
Dioptrics,Study of light refraction,xioptriks
Kephalonomancy,Divination using a baked ass's head,kefalonomans
Hygrostat,Machine for regulating humidity of air,hkrostat
Summate,To add together,sumate
Ophidiomancy,Divination using snakes,ofixiomans
Anfractuous,Full of windings and intricate turnings,anfraktuous
Neophron,Small Egyptian vulture,neofron
Neonomianism,Theory that the gospel abrogates earlier moral codes,neonomianism
Zoppetto,Medieval Italian limping hop dance,sopeto
Welter,To be in a state of turmoil or chaos,welter
Jud,Mass of coal ready for final removal,jut
